"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
3199000	0.015625	0.05	-12489.2	0	1.34375	2.53125	2.79688	2.46875	1.85938	-0.234375	-0.90625	-2.46875	-4.9375
3200000	0.015625	0.05	-12489.7	0	1.34375	2.53125	2.79688	2.46875	1.84375	-0.234375	-0.90625	-2.46875	-4.9375
3201000	0.015625	0.05	-12501.8	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.234375	-0.90625	-2.46875	-4.9375
3202000	0.015625	0.05	-12445.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.234375	-0.90625	-2.46875	-4.9375
3203000	0.015625	0.005	-12491.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.234375	-0.921875	-2.46875	-4.9375
3204000	0.015625	0.01	-12479.9	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.25	-0.921875	-2.46875	-4.9375
3205000	0.015625	0.01	-12335.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.25	-0.921875	-2.46875	-4.9375
3206000	0.015625	0.01	-12343.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.921875	-2.46875	-4.9375
3207000	0.015625	0.001	-12364.1	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.921875	-2.48438	-4.9375
3208000	0.015625	0.001	-12505.8	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.921875	-2.48438	-4.9375
3209000	0.015625	0.005	-12501.4	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.9375	-2.48438	-4.9375
3210000	0.015625	0.005	-12440	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.953125	-2.48438	-4.9375
3211000	0.015625	0.005	-12326.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.953125	-2.48438	-4.9375
3212000	0.015625	0.005	-12435	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.48438	-4.9375
3213000	0.015625	0.001	-12489.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.9375
3214000	0.015625	0.001	-12394.9	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.9375
3215000	0.015625	0	-12533.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.95312
3216000	0.015625	0	-12499.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.96875
3217000	0.015625	0	-12494.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.96875
3218000	0.015625	0	-12310.2	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-4.98438
